"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","2272","0.0-0.0","1467","4578138","[object Object]","[object Object]","4","","","","",""
"","html-keyboard-response","1","4392","0.0-1.0","1467","4578138","[object Object]","[object Object]","4","2117","Welcome to the experiment. Press any key to begin.","222","",""
"","survey-text","2","11168","0.0-2.0","1467","4578138","[object Object]","[object Object]","4","6776","","","{""Q0"":""A1ICXZVLIZM6IF""}",""
"","html-button-response","3","15936","0.0-3.0","1467","4578138","[object Object]","[object Object]","4","4767","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","27072","0.0-4.0","1467","4578138","[object Object]","[object Object]","4","11135","","","{""Q0"":""34"",""Q1"":""American"",""Q2"":""English"",""Q3"":""Bachelor's Degree""}",""
"","survey-likert","5","29648","0.0-5.0","1467","4578138","[object Object]","[object Object]","4","2574","","","{""Q0"":1}",""
"","html-keyboard-response","6","33160","0.0-6.0","1467","4578138","[object Object]","[object Object]","4","3511","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","74045","0.0-7.0-0.0","1467","4578138","[object Object]","[object Object]","4","","[""clips/raw-2017-06-27-143652394670-turntaking.mp4""]","","",""
"","survey-text","8","106128","0.0-7.0-1.0","1467","4578138","[object Object]","[object Object]","4","32081","","","{""Q0"":""They were playing with the same program in a collaborative fashion.""}",""
"","survey-text","9","116663","0.0-7.0-2.0","1467","4578138","[object Object]","[object Object]","4","10534","","","{""Q0"":""5 to 7? ""}",""
"","survey-likert","10","118951","0.0-7.0-3.0","1467","4578138","[object Object]","[object Object]","4","2286","","","{""Q0"":0}",""
"","survey-likert","11","123431","0.0-7.0-4.0","1467","4578138","[object Object]","[object Object]","4","4479","","","{""Q0"":1}",""
"","survey-likert","12","125736","0.0-7.0-5.0","1467","4578138","[object Object]","[object Object]","4","2302","","","{""Q0"":0}",""
"","survey-likert","13","132904","0.0-7.0-6.0","1467","4578138","[object Object]","[object Object]","4","7168","","","{""Q0"":1,""Q1"":3}",""
"","survey-likert","14","138175","0.0-7.0-7.0","1467","4578138","[object Object]","[object Object]","4","5271","","","{""Q0"":3,""Q1"":3}",""
"","survey-likert","15","141600","0.0-7.0-8.0","1467","4578138","[object Object]","[object Object]","4","3423","","","{""Q0"":1,""Q1"":1}",""
"","survey-likert","16","144311","0.0-7.0-9.0","1467","4578138","[object Object]","[object Object]","4","2710","","","{""Q0"":3,""Q1"":3}",""
"","survey-likert","17","147248","0.0-7.0-10.0","1467","4578138","[object Object]","[object Object]","4","2935","","","{""Q0"":1,""Q1"":1}",""
"","survey-likert","18","150384","0.0-7.0-11.0","1467","4578138","[object Object]","[object Object]","4","3135","","","{""Q0"":3,""Q1"":3}",""
"","survey-likert","19","170192","0.0-7.0-12.0","1467","4578138","[object Object]","[object Object]","4","19807","","","{""Q0"":1,""Q1"":1}",""
"","survey-likert","20","172856","0.0-7.0-13.0","1467","4578138","[object Object]","[object Object]","4","2663","","","{""Q0"":1,""Q1"":1}",""
"","survey-likert","21","175872","0.0-7.0-14.0","1467","4578138","[object Object]","[object Object]","4","3015","","","{""Q0"":3,""Q1"":3}",""
"","survey-likert","22","179312","0.0-7.0-15.0","1467","4578138","[object Object]","[object Object]","4","3438","","","{""Q0"":2,""Q1"":1}",""
"","survey-likert","23","182344","0.0-7.0-16.0","1467","4578138","[object Object]","[object Object]","4","3032","","","{""Q0"":3,""Q1"":3}",""
